0,0,0,0,0,0,0,0
0.002,3.1416e-06,-1.6449e-14,-1.0472e-08,0.0031416,-1.0472e-05,1.5708,-0.005236
0.004,1.2566e-05,-2.6319e-13,-4.1888e-08,0.0062832,-2.0944e-05,1.5708,-0.005236
0.006,2.8274e-05,-1.3324e-12,-9.4248e-08,0.0094248,-3.1416e-05,1.5708,-0.005236
0.008,5.0265e-05,-4.211e-12,-1.6755e-07,0.012566,-4.1888e-05,1.5708,-0.005236
0.01,7.854e-05,-1.0281e-11,-2.618e-07,0.015708,-5.236e-05,1.5708,-0.005236
0.012,0.0001131,-2.1318e-11,-3.7699e-07,0.01885,-6.2832e-05,1.5708,-0.005236
0.014,0.00015394,-3.9495e-11,-5.1313e-07,0.021991,-7.3304e-05,1.5708,-0.005236
0.016,0.00020106,-6.7376e-11,-6.7021e-07,0.025133,-8.3776e-05,1.5708,-0.005236
0.018,0.00025447,-1.0792e-10,-8.4823e-07,0.028274,-9.4248e-05,1.5708,-0.005236
0.02,0.00031416,-1.6449e-10,-1.0472e-06,0.031416,-0.00010472,1.5708,-0.005236
0.022,0.00038013,-2.4083e-10,-1.2671e-06,0.034558,-0.00011519,1.5708,-0.005236
0.024,0.00045239,-3.4109e-10,-1.508e-06,0.037699,-0.00012566,1.5708,-0.005236
0.026,0.00053093,-4.6981e-10,-1.7698e-06,0.040841,-0.00013614,1.5708,-0.005236
0.028,0.00061575,-6.3192e-10,-2.0525e-06,0.043982,-0.00014661,1.5708,-0.005236
0.03,0.00070686,-8.3275e-10,-2.3562e-06,0.047124,-0.00015708,1.5708,-0.005236
0.032,0.00080425,-1.078e-09,-2.6808e-06,0.050265,-0.00016755,1.5708,-0.005236
0.034,0.00090792,-1.3739e-09,-3.0264e-06,0.053407,-0.00017802,1.5708,-0.005236
0.036,0.0010179,-1.7268e-09,-3.3929e-06,0.056549,-0.0001885,1.5708,-0.005236
0.038,0.0011341,-2.1437e-09,-3.7804e-06,0.05969,-0.00019897,1.5708,-0.005236
0.04,0.0012566,-2.6319e-09,-4.1888e-06,0.062832,-0.00020944,1.5708,-0.005236
0.042,0.0013854,-3.1991e-09,-4.6181e-06,0.065973,-0.00021991,1.5708,-0.005236
0.044,0.0015205,-3.8534e-09,-5.0684e-06,0.069115,-0.00023038,1.5708,-0.005236
0.046,0.0016619,-4.6032e-09,-5.5397e-06,0.072257,-0.00024086,1.5708,-0.005236
0.048,0.0018096,-5.4575e-09,-6.0319e-06,0.075398,-0.00025133,1.5708,-0.005236
0.05,0.0019635,-6.4255e-09,-6.545e-06,0.07854,-0.0002618,1.5708,-0.005236
0.052,0.0021237,-7.517e-09,-7.0791e-06,0.081681,-0.00027227,1.5708,-0.005236
0.054,0.0022902,-8.7419e-09,-7.6341e-06,0.084823,-0.00028274,1.5708,-0.005236
0.056,0.002463,-1.0111e-08,-8.21e-06,0.087965,-0.00029322,1.5708,-0.005236
0.058,0.0026421,-1.1634e-08,-8.8069e-06,0.091106,-0.00030369,1.5708,-0.005236
0.06,0.0028274,-1.3324e-08,-9.4248e-06,0.094248,-0.00031416,1.5708,-0.005236
0.062,0.0030191,-1.5191e-08,-1.0064e-05,0.097389,-0.00032463,1.5708,-0.005236
0.064,0.003217,-1.7248e-08,-1.0723e-05,0.10053,-0.0003351,1.5708,-0.005236
0.066,0.0034212,-1.9508e-08,-1.1404e-05,0.10367,-0.00034558,1.5708,-0.005236
0.068,0.0036317,-2.1982e-08,-1.2106e-05,0.10681,-0.00035605,1.5708,-0.005236
0.07,0.0038485,-2.4684e-08,-1.2828e-05,0.10996,-0.00036652,1.5708,-0.005236
0.072,0.0040715,-2.7629e-08,-1.3572e-05,0.1131,-0.00037699,1.5708,-0.005236
0.074,0.0043008,-3.0829e-08,-1.4336e-05,0.11624,-0.00038746,1.5708,-0.005236
0.076,0.0045365,-3.4299e-08,-1.5122e-05,0.11938,-0.00039794,1.5708,-0.005236
0.078,0.0047784,-3.8055e-08,-1.5928e-05,0.12252,-0.00040841,1.5708,-0.005236
0.08,0.0050265,-4.211e-08,-1.6755e-05,0.12566,-0.00041888,1.5708,-0.005236
0.082,0.005281,-4.6482e-08,-1.7603e-05,0.12881,-0.00042935,1.5708,-0.005236
0.084,0.0055418,-5.1185e-08,-1.8473e-05,0.13195,-0.00043982,1.5708,-0.005236
0.086,0.0058088,-5.6237e-08,-1.9363e-05,0.13509,-0.00045029,1.5708,-0.005236
0.088,0.0060821,-6.1654e-08,-2.0274e-05,0.13823,-0.00046077,1.5708,-0.005236
0.09,0.0063617,-6.7453e-08,-2.1206e-05,0.14137,-0.00047124,1.5708,-0.005236
0.092,0.0066476,-7.3651e-08,-2.2159e-05,0.14451,-0.00048171,1.5708,-0.005236
0.094,0.0069398,-8.0268e-08,-2.3133e-05,0.14765,-0.00049218,1.5708,-0.005236
0.096,0.0072382,-8.732e-08,-2.4127e-05,0.1508,-0.00050265,1.5708,-0.005236
0.098,0.007543,-9.4827e-08,-2.5143e-05,0.15394,-0.00051313,1.5708,-0.005236
0.1,0.007854,-1.0281e-07,-2.618e-05,0.15708,-0.0005236,1.5708,-0.005236
0.102,0.0081713,-1.1128e-07,-2.7238e-05,0.16022,-0.00053407,1.5708,-0.005236
0.104,0.0084949,-1.2027e-07,-2.8316e-05,0.16336,-0.00054454,1.5708,-0.005236
0.106,0.0088247,-1.2979e-07,-2.9416e-05,0.1665,-0.00055501,1.5708,-0.005236
0.108,0.0091609,-1.3987e-07,-3.0536e-05,0.16965,-0.00056549,1.5708,-0.005236
